"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Torrey Craig","9.56","SG","MIL","DEN","12","3,700","2.58","-8.94"
"Stanley Johnson","9.34","SF","TOR","MEM","12","4,100","2.28","-11.16"
"Caleb Martin","9.14","SF","CHA","HOU","10","3,500","2.61","-8.36"
"Wesley Matthews","8.90","SG","LAL","OKC","20","3,500","2.54","-8.60"
"Mason Jones","8.71","SG","HOU","CHA","9","3,500","2.49","-8.79"
"Facundo Campazzo","8.69","PG","DEN","MIL","12","3,500","2.48","-8.81"
"Ed Davis","8.33","C","MIN","DAL","10","3,500","2.38","-9.17"
"Terence Davis","8.22","SG","TOR","MEM","10","3,700","2.22","-10.28"
"Rodions Kurucs","8.02","PF","HOU","CHA","12","3,500","2.29","-9.48"
"Damian Jones","7.64","C","PHX","CLE","10","3,500","2.18","-9.86"
"Moritz Wagner","7.55","PF","WAS","CHI","8","4,500","1.68","-14.95"
"Jevon Carter","7.09","SG","PHX","CLE","8","3,500","2.03","-10.41"
"Bismack Biyombo","6.65","C","CHA","HOU","8","3,600","1.85","-11.35"
"Trey Burke","6.44","PG","DAL","MIN","8","3,500","1.84","-11.06"
"Mychal Mulder","5.47","SF","GS","SAS","9","3,500","1.56","-12.03"
"R.J. Hampton","5.34","PG","DEN","MIL","10","3,700","1.44","-13.16"
"Willie Cauley-Stein","4.98","C","DAL","MIN","5","3,600","1.38","-13.02"
"Trey Lyles","4.18","PF","SAS","GS","5","3,500","1.19","-13.32"
"James Johnson","3.87","PF","DAL","MIN","4","3,500","1.11","-13.63"
"Cody Martin","3.76","SG","CHA","HOU","5","3,500","1.07","-13.74"
"Cristiano Felicio","3.24","C","CHI","WAS","3","3,500","0.92","-14.26"
"Devonte' Graham","0.00","SG","CHA","HOU","0","5,500","0.00","-27.50"
"Jalen McDaniels","0.00","PF","CHA","HOU","0","3,500","0.00","-17.50"
"Vernon Carey Jr.","0.00","N/A","CHA","HOU","0","3,500","0.00","-17.50"
"Nick Richards","0.00","C","CHA","HOU","0","3,500","0.00","-17.50"
"Otto Porter Jr.","0.00","SF","CHI","WAS","0","4,500","0.00","-22.50"
"Lauri Markkanen","0.00","PF","CHI","WAS","0","5,500","0.00","-27.50"
"Wendell Carter Jr.","0.00","C","CHI","WAS","0","5,900","0.00","-29.50"
"Chandler Hutchison","0.00","SF","CHI","WAS","0","3,500","0.00","-17.50"
"Adam Mokoka","0.00","SG","CHI","WAS","0","3,500","0.00","-17.50"
"Dean Wade","0.00","PF","CLE","PHX","0","3,500","0.00","-17.50"
"Larry Nance Jr.","0.00","SF","CLE","PHX","0","5,600","0.00","-28.00"
"Damyean Dotson","0.00","PG","CLE","PHX","0","3,500","0.00","-17.50"
"JaVale McGee","0.00","PF","CLE","PHX","0","3,900","0.00","-19.50"
"Marques Bolden","0.00","PF","CLE","PHX","0","3,500","0.00","-17.50"
"Matthew Dellavedova","0.00","PG","CLE","PHX","0","3,600","0.00","-18.00"
"Nate Hinton","0.00","SG","DAL","MIN","0","3,500","0.00","-17.50"
"Wes Iwundu","0.00","SG","DAL","MIN","0","3,500","0.00","-17.50"
"Josh Green","0.00","SG","DAL","MIN","0","3,500","0.00","-17.50"
"Boban Marjanovic","0.00","C","DAL","MIN","0","3,500","0.00","-17.50"
"Gary Harris","0.00","SG","DEN","MIL","0","4,300","0.00","-21.50"
"PJ Dozier","0.00","SG","DEN","MIL","0","3,900","0.00","-19.50"
"Bol Bol","0.00","C","DEN","MIL","0","3,500","0.00","-17.50"
"Zeke Nnaji","0.00","PF","DEN","MIL","0","3,500","0.00","-17.50"
"Vlatko Cancar","0.00","SF","DEN","MIL","0","3,500","0.00","-17.50"
"James Wiseman","0.00","C","GS","SAS","0","4,900","0.00","-24.50"
