Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
37,37,2021-03-04,26-095,NYK,,DET,W (+10),1,42:12,.624,.605,3.2,41.6,23.9,24.5,0.0,2.6,12.2,26.9,127,115,24.7,4.1
38,38,2021-03-11,26-102,NYK,@,MIL,L (-33),1,28:34,.318,.318,3.5,35.6,16.6,31.5,0.0,3.4,35.3,25.7,62,133,1.0,-11.7
39,39,2021-03-13,26-104,NYK,@,OKC,W (+22),1,39:06,.670,.633,2.7,35.5,17.5,43.1,2.5,0.0,13.4,25.1,137,99,28.5,14.7
40,40,2021-03-15,26-106,NYK,@,BRK,L (-5),1,41:12,.557,.537,11.4,27.2,17.3,32.0,3.6,0.0,14.4,36.1,112,118,25.5,8.2
41,41,2021-03-16,26-107,NYK,@,PHI,L (-3),1,40:35,.439,.395,7.5,28.4,18.3,32.9,0.0,0.0,8.5,26.5,102,104,15.8,2.6
42,42,2021-03-18,26-109,NYK,,ORL,W (+1),1,39:38,.431,.425,0.0,26.3,13.2,75.4,1.3,0.0,8.7,28.3,109,102,19.5,9.0
43,43,2021-03-21,26-112,NYK,,PHI,L (-1),1,46:09,.452,.391,7.0,11.8,9.1,11.5,5.7,0.0,15.9,31.4,90,95,13.7,1.8
44,44,2021-03-23,26-114,NYK,,WAS,W (+18),1,37:47,.706,.688,0.0,20.6,9.5,8.3,0.0,0.0,10.3,33.0,130,118,23.2,3.8
45,45,2021-03-25,26-116,NYK,,WAS,W (+4),1,36:52,.385,.344,0.0,26.0,11.6,18.9,1.3,0.0,5.6,18.7,93,101,7.7,-2.6
46,,2021-03-27,26-118,NYK,@,MIL,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,46,2021-03-29,26-120,NYK,,MIA,L (-10),1,35:53,.536,.500,3.3,19.9,12.2,17.0,0.0,0.0,19.6,33.5,91,108,10.0,-1.1
48,47,2021-03-31,26-122,NYK,@,MIN,L (-1),1,39:15,.623,.600,0.0,34.1,18.1,28.7,0.0,0.0,16.1,28.8,112,107,19.0,2.9
49,48,2021-04-02,26-124,NYK,,DAL,L (-13),1,37:04,.328,.275,0.0,27.3,11.5,55.8,1.4,2.5,19.0,32.6,74,102,7.6,-0.3
50,49,2021-04-03,26-125,NYK,@,DET,W (+44),1,30:10,.760,.719,4.2,22.7,14.6,16.6,0.0,0.0,13.6,35.9,130,95,21.7,4.8
51,50,2021-04-05,26-127,NYK,@,BRK,L (-2),1,38:37,.439,.368,0.0,39.7,21.7,47.7,1.2,2.1,18.8,30.8,94,107,16.5,0.7
